ID,numax,numax_e,dnu,dnu_e,Teff,Teff_e,bp_rp,bp_rp_e
248593082,959.787,24.16,52.285,0.49,6406,40,0.627481,0.1
248641774,2557.062,68.281,120.772,0.717,6110,42,0.713037,0.1
248643218,1217.363,17.434,63.544,0.552,6194,54,0.693686,0.1
248662379,2093.629,35.04,100.847,0.733,6167,60,0.694643,0.1
248663722,226.585,3.743,16.777,0.555,5027,29,1.055623,0.1
248665653,1241.073,13.214,62.909,0.553,5983,60,0.801721,0.1
248687497,2144.267,29.945,103.524,0.584,6227,45,0.662818,0.1
248696061,205.016,3.864,14.736,0.368,4887,31,1.140306,0.1
248724653,121.179,2.91,10.258,0.48,4807,40,1.183807,0.1
248729983,1806.159,31.104,87.964,0.652,6266,46,0.67623,0.1
248760285,412.3,3.549,26.55,0.74,4853,34,1.164879,0.1
248776784,62.997,4.044,6.635,0.283,4979,31,1.087454,0.1
248777106,1318.848,13.648,67.474,0.65,5573,40,0.890718,0.1
248785352,2132.442,25.783,105.395,0.794,5856,42,0.784866,0.1
248825038,2146.571,34.841,96.759,0.617,6317,38,0.632572,0.1
248842300,1625.516,34.911,80.201,0.523,6445,35,0.599397,0.1
248849444,1016.262,21.457,56.463,0.571,5749,44,0.829968,0.1
248855475,697.571,3.898,40.445,0.628,4951,27,1.11922,0.1
248891803,1236.835,22.078,63.889,0.544,6062,42,0.695474,0.1
249151042,1114.069,12.325,62.127,0.55,6081,69,0.782025,0.1
249154730,1665.396,23.693,81.585,0.556,6531,53,0.599326,0.1
249175306,186.784,2.957,14.234,0.46,4832,29,1.169046,0.1
249200379,2003.063,36.984,99.344,0.729,6065,56,0.762504,0.1
249404897,1643.918,23.062,82.325,0.714,5913,59,0.815552,0.1
249549448,2861.216,41.839,126.63,0.696,5949,43,0.769844,0.1
249570007,653.051,17.109,39.179,0.411,6165,59,0.707782,0.1
249580606,1748.657,22.306,84.178,0.525,5933,34,0.743257,0.1
249589868,2023.624,59.161,89.879,0.7,6475,52,0.651834,0.1
249602800,1353.29,12.361,72.453,0.553,5877,40,0.763453,0.1
249620304,1653.464,30.221,85.443,0.61,6029,45,0.737221,0.1
249627169,533.18,3.301,34.414,0.901,4978,79,1.224424,0.1
249639834,253.186,3.605,17.933,0.338,5117,60,1.11432,0.1
249790971,2076.138,17.59,97.576,0.679,5923,39,0.744785,0.1
249810309,1369.621,12.827,72.117,0.631,5771,66,0.896446,0.1
249829497,1833.123,12.38,92.973,0.684,5778,39,0.795082,0.1
249869231,1462.675,33.355,75.004,0.571,6543,40,0.581979,0.1
249874527,1569.688,48.973,78.614,0.507,6425,49,0.619813,0.1
249877325,1775.773,39.539,80.509,0.563,6695,100,0.669174,0.1
249939354,194.98,3.123,14.046,0.347,5052,86,1.207493,0.1
250118096,2469.436,20.093,109.678,0.701,6097,39,0.719307,0.1
250141301,2832.777,32.298,124.117,0.91,5869,40,0.791354,0.1
250164599,679.659,11.205,38.813,0.421,5963,97,0.86774,0.1
250165973,1588.414,13.194,83.021,0.641,6005,40,0.737875,0.1
