ID,numax,delta_nu,e_delta_nu,epsilon,e_epsilon,alpha,e_alpha,D,e_D,delta_Pi,e_delta_Pi,q,e_q,epsilon_g,e_epsilon_g,f_shift,e_f_shift,Omega_g,e_Omega_g,Omega_p,e_Omega_p,Teff,e_Teff,Lum,e_Lum,Fe/H,e_Fe/H,mass,e_mass,radius,e_radius,inclination,e_inclination,linewidth0,e_linewidth0,age,e_age,ruwe
KIC7348483,111.682396,10.072357,0.03652,0.224881,0.039796,-0.001313,0.004568,0.221634,0.008711,77.204256,0.061652,0.140531,0.004917,0.684945,0.091811,0.630663,0.027713,5.845187,0.06212,-0.352749,0.130642,4851.3,82.55,1.29,0.7955,-0.081,-0.0345,1.15,0.08,5.85,0.14,53.521078,2.698673,0.047553,0.0068,9999,9999,1.014612
KIC7348956,186.023734,14.597598,0.010028,0.318525,0.00932,0.000188,0.000908,0.311033,0.005922,83.830238,0.023534,0.156672,0.002247,0.346723,0.017963,0.595332,0.021962,3.595415,0.044611,0.119274,0.075955,4967.9,78.75,1.128,0.0355,-0.17,0.0195,1.46,0.09,5.04,0.12,79.44218,2.406787,0.071368,0.008592,9.549,2.0605,1.003716
KIC7350897,131.891042,11.155435,0.009866,0.231585,0.010762,0.004382,0.000759,0.250972,0.004958,77.817335,0.016211,0.150559,0.002562,0.208412,0.019804,0.596857,0.021494,7.204121,0.031798,-0.210253,0.077669,4948.6,80.85,1.284,0.2485,-0.329,0.002,1.32,0.07,5.78,0.11,85.836488,1.390129,0.069077,0.010683,9999,9999,1.013869
KIC7351508,145.583169,11.680357,0.008075,0.290102,0.009181,-0.000461,0.000783,0.243733,0.005351,78.076348,0.016233,0.137344,0.001624,0.21653,0.018024,0.617572,0.022151,5.922162,0.042108,-0.06788,0.078096,4917.1,81.15,1.257,0.21,-0.224,-0.013,1.53,0.09,5.89,0.12,44.307073,1.243499,0.068857,0.005505,6.655,0.9825,1.157868
KIC7351548,199.596488,15.076681,0.005204,0.333789,0.005176,0.000713,0.000497,0.299368,0.004838,83.591661,0.009275,0.140221,0.001376,0.25946,0.006992,0.652224,0.015318,4.018415,0.031552,0.008169,0.060473,4862.1,79,1.067,0.0245,0.083,-0.0035,1.42,0.08,4.86,0.1,65.499884,1.475453,0.050834,0.003739,4.587,0.701,1.173316
KIC7351707,155.386451,12.779284,0.014826,0.314452,0.014292,-0.001157,0.001319,0.272627,0.005479,81.981523,0.025172,0.150921,0.003231,0.318619,0.022746,0.607873,0.021561,4.510133,0.31802,0.154816,0.222331,4927.6,84.6,0.869,0.0265,-0.034,-0.0175,1.23,0.08,5.13,0.12,32.333906,2.762678,0.042365,0.0055,9999,9999,1.074112
KIC7352503,82.528487,7.769599,0.011008,0.120764,0.015566,0.007148,0.001009,0.181553,0.00504,72.55013,0.020001,0.131207,0.005296,0.978562,0.048869,0.486229,0.021303,4.152049,0.042635,0.260866,0.143092,4858.3,102.85,0.884,1.0135,-0.235,-0.0025,1.44,0.09,7.61,0.18,34.93636,2.791128,0.057895,0.009934,7.84,0.781,14.126536
KIC7354032,131.307545,11.489474,0.018063,0.197079,0.017326,0.008444,0.001628,0.25975,0.006072,80.196634,0.028755,0.142453,0.003725,0.13554,0.03413,0.712818,0.023498,9999,9999,9999,9999,4881.2,88.8,1.198,0.21,-0.341,-0.0125,1.11,0.07,5.31,0.12,9999,9999,9999,9999,9999,9999,1.000796
KIC7363069,235.47,18.653022,0.024161,0.375958,0.016648,0.012458,0.002198,0.443614,0.00943,91.627835,0.107137,0.193055,0.002979,0.330305,0.053627,0.759764,0.028006,6.974959,0.13379,0.250242,0.1308,5113.7,93.15,0.895,0.0245,-0.526,0,0.98,0.06,3.71,0.09,38.540271,3.447535,0.044871,0.007676,9999,9999,0.922441
KIC7365386,126.47687,10.491574,0.010868,0.198436,0.012873,0.005348,0.000931,0.229169,0.004815,78.236381,0.022266,0.115521,0.002446,0.193262,0.028167,0.620448,0.021531,4.175065,0.045064,0.203676,0.077314,4597.7,82.95,1.188,0.0615,0.313,-0.0045,1.4,0.09,6.14,0.14,79.73333,1.545737,0.05634,0.00699,9999,9999,1.068498
