ID,numax,delta_nu,e_delta_nu,epsilon,e_epsilon,alpha,e_alpha,D,e_D,delta_Pi,e_delta_Pi,q,e_q,epsilon_g,e_epsilon_g,f_shift,e_f_shift,Omega_g,e_Omega_g,Omega_p,e_Omega_p,Teff,e_Teff,Lum,e_Lum,Fe/H,e_Fe/H,mass,e_mass,radius,e_radius,inclination,e_inclination,linewidth0,e_linewidth0,age,e_age,ruwe
KIC5694334,86.466549,8.055202,0.011442,0.110668,0.016978,0.005581,0.001576,0.181661,0.005325,72.501487,0.024094,0.132271,0.006675,0.088625,0.0509,0.552337,0.023634,9999,9999,9999,9999,4810.2,88.7,1.353,0.356,-0.206,0.0085,1.45,0.09,7.46,0.17,9999,9999,9999,9999,8.632,1.442,1.16599
KIC5694630,110.412208,9.597516,0.011193,0.168716,0.014105,0.004265,0.001141,0.215366,0.00435,75.004847,0.021492,0.131728,0.00299,0.236333,0.031879,0.594375,0.017374,2.81996,0.038376,0.019519,0.093579,4914.9,80.75,1.311,0.2945,-0.221,0.0195,1.45,0.09,6.61,0.14,68.229694,1.66388,0.046782,0.00496,6.76,1.2125,1.025829
KIC5695038,189.39068,14.398746,0.018196,0.301883,0.016837,0.000854,0.001327,0.29884,0.008944,82.668892,0.06058,0.14051,0.003055,0.19713,0.047736,0.659052,0.030621,9999,9999,9999,9999,4942.4,81.75,1.11,0.138,-0.121,-0.0035,1.35,0.08,4.85,0.11,9999,9999,9999,9999,5.986,1.322,1.023627
KIC5697980,162.982071,13.332632,0.009975,0.313149,0.009169,0.000978,0.000862,0.295209,0.005079,83.386373,0.017485,0.14727,0.001576,0.190258,0.015776,0.735565,0.018372,5.056363,0.048328,-0.141152,0.072772,4863.8,87.85,1.064,0.0405,-0.073,-0.008,1.24,0.07,5.01,0.11,36.569294,2.047986,0.044817,0.003672,8.672,1.322,2.518876
KIC5698093,186.79741,14.503992,0.010696,0.298856,0.010021,0.002588,0.000637,0.306052,0.004616,85.315297,0.021388,0.142582,0.001308,0.302405,0.015348,0.689978,0.017027,4.072793,0.042688,0.090115,0.071141,4855.9,80,0.987,0.023,0.139,-0.02,1.19,0.05,4.67,0.08,63.086487,1.328591,0.054234,0.003989,6.908,0,0.882989
KIC5698201,221.86,16.577151,0.011213,0.347132,0.009697,0.00208,0.001028,0.322768,0.006889,85.561613,0.020737,0.169,0.001598,0.315512,0.012318,0.686547,0.023151,7.46937,0.081941,0.32349,0.098723,4990.1,81.8,1.083,0.018,-0.134,-0.035,1.52,0.11,4.69,0.12,45.199373,4.598087,0.064851,0.006042,9999,9999,0.960793
KIC5701829,143.651094,12.260064,0.009566,0.208224,0.010254,0.006429,0.000728,0.279974,0.005361,81.5355,0.022579,0.147418,0.002588,0.235615,0.023017,0.744484,0.021188,5.753406,0.048288,-0.12852,0.079957,4846.3,76.65,1.071,0.025,-0.263,0.0055,1.02,0.05,4.94,0.09,44.177408,1.620832,0.108435,0.008924,9999,9999,1.031419
KIC5702251,156.860186,12.99395,0.008991,0.226157,0.00895,0.007252,0.00063,0.302215,0.004404,82.138302,0.011857,0.157271,0.001742,0.248649,0.010998,0.634989,0.01755,3.227113,0.038555,0.002365,0.088095,5069.8,80.2,1.122,0.0255,-0.328,-0.019,1.21,0.06,5.09,0.09,33.359493,1.394497,0.053282,0.003517,9.408,1.211,0.782969
KIC5702396,145.593215,11.840938,0.008422,0.244458,0.008787,0.004559,0.000763,0.243704,0.004955,78.845742,0.021477,0.128212,0.003749,0.262522,0.023505,0.670436,0.024047,9999,9999,9999,9999,4784.5,83.05,1.172,0.113,0.061,0.0035,1.47,0.09,5.79,0.13,9999,9999,9999,9999,5.513,1.1525,0.973589
KIC5702782,180.681312,14.116803,0.010093,0.269141,0.00897,0.005815,0.000647,0.314867,0.005523,83.7493,0.022501,0.171791,0.002013,0.191429,0.017,0.595921,0.020424,9.731802,0.049892,0.211232,0.080726,5047,83.6,1.103,0.043,-0.427,0.0195,1.45,0.09,5.13,0.11,42.909507,1.431917,0.09422,0.006922,9999,9999,0.905064
KIC5706631,115.946652,10.099682,0.012468,0.099613,0.014931,0.009771,0.001479,0.225949,0.006706,63.246854,0.023398,0.165139,0.005881,0.873263,0.052017,0.614866,0.027003,5.324787,0.049413,-0.012051,0.116254,5335.6,94.35,1.545,0.6495,-1.605,-0.0105,1.71,0.12,6.8,0.17,87.374135,1.710999,0.09909,0.019959,9999,9999,1.027448
KIC5706754,134.203205,11.784433,0.014803,0.233573,0.014194,0.004372,0.001101,0.286026,0.00557,80.138529,0.02529,0.154772,0.002895,0.243723,0.0284,0.769689,0.021709,3.623802,0.045956,0.187696,0.078002,4981.5,90.55,1.161,0.0865,-0.484,-0.0015,1.21,0.07,5.45,0.12,80.376882,2.167803,0.05646,0.005085,9999,9999,0.952315
KIC5707115,91.613484,8.578151,0.011364,0.122054,0.014063,0.009294,0.001125,0.207563,0.004943,74.956203,0.019288,0.129451,0.004653,0.101791,0.037436,0.563584,0.022229,6.329986,0.030955,0.027964,0.088058,4812.3,88.3,1.267,0.255,-0.125,-0.0185,1.04,0.05,6.3,0.12,71.166838,2.099853,0.052897,0.009807,13.003,2.33,0.974322
KIC5707269,201.59,15.988018,0.010576,0.353965,0.008895,0.00517,0.000691,0.362849,0.005567,87.674926,0.034744,0.185759,0.002015,0.165619,0.022023,0.579157,0.02153,2.855509,0.087884,-0.010192,0.095829,5011,85.4,1.034,0.0165,-0.326,0.019,1.13,0.06,4.29,0.09,84.903665,1.546376,0.047112,0.004044,9999,9999,0.860864
KIC5714754,192.942364,15.428284,0.013346,0.294079,0.010606,0.005886,0.000675,0.345089,0.006504,86.627646,0.026701,0.180401,0.002165,0.245089,0.018228,0.610901,0.022783,3.240273,0.052075,0.045578,0.076978,4879.6,80.1,1.005,0.024,-0.292,-0.011,1.13,0.05,4.41,0.08,82.546922,2.548392,0.076864,0.009423,9999,9999,1.019368
KIC5714999,239.73,17.169234,0.013583,0.358255,0.01087,-0.001901,0.001232,0.325865,0.006061,89.583508,0.071107,0.16901,0.002405,0.12298,0.036973,0.65145,0.027675,9999,9999,9999,9999,4902,83.8,1.019,0.012,-0.029,-0.014,1.64,0.12,4.69,0.12,9999,9999,9999,9999,3.107,0.5,0.947161
KIC5724214,178.054014,13.971388,0.005955,0.281994,0.00589,0.001954,0.000504,0.307143,0.005677,83.331239,0.015786,0.149112,0.001697,0.247535,0.013043,0.698079,0.019123,2.673434,0.035364,0.098536,0.053533,4930.3,89.75,1.076,0.032,-0.067,0.0195,1.25,0.08,4.85,0.11,85.447656,1.833699,0.045624,0.004701,6.372,0.8805,1.041843
KIC5731450,214.52,16.154949,0.011069,0.331988,0.009076,0.001838,0.001011,0.331505,0.005674,84.895297,0.082013,0.161004,0.00273,0.317168,0.053973,0.727333,0.020626,6.419805,0.134177,0.373113,0.080454,5045,94.15,1.135,0.0855,-0.428,0.0195,1.43,0.11,4.66,0.13,86.82175,1.796876,0.042741,0.006464,9999,9999,0.979118
KIC5731852,244.58,18.019586,0.0106,0.415762,0.008118,0.000345,0.000642,0.373528,0.005513,89.136285,0.018458,0.156378,0.001161,0.262578,0.009636,0.685238,0.020064,4.196171,0.03794,0.174213,0.053156,4765.1,83.95,0.882,0.0095,0.25,0.0035,1.19,0.06,4.05,0.08,86.487257,1.613395,0.040465,0.00444,4.766,0.6,0.978744
KIC5732630,198.16,15.717822,0.015132,0.365711,0.012475,0.002767,0.000986,0.322904,0.006838,85.147729,0.067947,0.156476,0.002359,0.28362,0.046944,0.738532,0.027813,4.690393,0.214245,0.529849,0.120719,4897.2,91.4,1.029,0.0255,-0.053,-0.0075,1.16,0.08,4.42,0.11,63.822083,2.747588,0.038153,0.004724,9999,9999,0.985767
KIC5769244,142.279318,11.806859,0.006497,0.170569,0.006166,0.008805,0.00053,0.259139,0.004051,80.985603,0.017847,0.130166,0.002341,0.26158,0.0182,0.699837,0.016336,3.184584,0.044767,0.044874,0.101915,4717.1,79.3,1.064,0,0.253,-0.0065,1.17,0.05,5.34,0.09,32.502509,1.814854,0.078906,0.007252,8.607,1.601,0.907555
KIC5771621,155.76047,12.922837,0.014498,0.282439,0.013748,0.004634,0.000957,0.30965,0.005728,82.500125,0.032968,0.149813,0.00328,0.194776,0.030972,0.782629,0.02348,9999,9999,9999,9999,4863.1,91.9,1.12,0.0315,-0.113,0.014,1.31,0.08,5.28,0.12,9999,9999,9999,9999,12.039,1.2005,0.933287
KIC5773365,239.87,17.357932,0.01432,0.386659,0.011451,-0.00122,0.000744,0.337305,0.00665,86.082055,0.037292,0.163421,0.001843,0.291146,0.022012,0.849208,0.020516,5.386584,0.065673,0.26541,0.065903,4975.4,81.65,1.033,0.0195,-0.164,0.019,1.53,0.09,4.55,0.1,73.510333,2.242184,0.079645,0.006723,4.718,0.9215,1.041935
KIC5774266,191.474392,14.552821,0.014263,0.321045,0.012978,0.002486,0.000887,0.320146,0.00599,82.337704,0.025954,0.140733,0.002975,0.238196,0.019596,0.669666,0.023868,9999,9999,9999,9999,4844.2,80.65,1.064,0.0195,0.053,0.0085,1.49,0.09,5.07,0.12,9999,9999,9999,9999,5.13,0.7205,0.967996
KIC5774568,113.66808,9.594473,0.00746,0.164608,0.009829,0.006301,0.000759,0.201974,0.004516,75.183969,0.016986,0.113373,0.002623,0.200982,0.025982,0.58277,0.018191,5.007275,0.042726,-0.033834,0.08804,4712.6,80.6,1.239,0.0585,0.211,0.022,1.4,0.07,6.52,0.12,46.953785,1.916384,0.088121,0.012013,4.004,0.6015,0.841352
KIC5780614,172.892932,13.574922,0.005449,0.253773,0.004905,0.007129,0.000341,0.307508,0.005126,81.693105,0.013904,0.147241,0.001555,0.224183,0.012386,0.595661,0.017849,3.662279,0.063618,0.073338,0.082245,4994.9,78.8,1.092,0.011,-0.176,-0.0195,1.33,0.06,5.07,0.09,31.271939,1.591757,0.074287,0.008329,7.026,1.302,0.935502
KIC5786229,154.168295,13.34913,0.01828,0.276838,0.01681,0.003156,0.001452,0.328635,0.005863,82.379714,0.017358,0.174742,0.002348,0.238183,0.016769,0.812275,0.021643,4.235991,0.039111,-0.002052,0.088269,5035.9,83.95,1.119,0.0465,-0.69,0.0085,0.9,0.05,4.45,0.1,86.123429,1.42863,0.040628,0.004457,9999,9999,0.971222
KIC5788559,147.279589,12.411179,0.008925,0.250231,0.008877,0.006873,0.000767,0.26822,0.005589,82.274682,0.022471,0.138441,0.002051,0.236719,0.02231,0.744232,0.01718,4.031942,0.034658,0.005765,0.061163,4824.3,87.55,1.122,0.0615,-0.12,0.0145,1.23,0.07,5.28,0.11,73.709268,1.600422,0.061564,0.005079,8.102,1.9015,1.055968
KIC5791045,111.605462,9.758223,0.011534,0.197548,0.013831,0.00375,0.001283,0.211854,0.004693,77.736427,0.015213,0.127654,0.00262,0.261332,0.022389,0.590667,0.018024,1.329939,0.028759,0.096865,0.074631,4665.3,85.95,1.118,0.0435,0.195,0.005,1.15,0.06,5.99,0.11,57.747586,2.236389,0.046516,0.004359,7.681,0.7915,1.019687
KIC5792889,152.132269,13.179025,0.010882,0.227526,0.009577,0.005034,0.000804,0.310144,0.004933,81.753485,0.015071,0.179637,0.001997,0.273458,0.01559,0.726974,0.019951,5.921113,0.041115,0.034712,0.084629,5137.7,90.2,1.091,0.053,-0.745,0.0005,1.15,0.07,4.98,0.11,33.635048,1.582215,0.046545,0.004212,9999,9999,1.214725
KIC5794479,200.7,15.447656,0.007983,0.351423,0.006853,0.002054,0.00058,0.335618,0.005348,84.886547,0.01925,0.153135,0.001574,0.234402,0.013971,0.655367,0.019002,6.424272,0.054068,0.012263,0.070854,4920.5,85.9,1.054,0.0095,-0.067,-0.0225,1.36,0.08,4.71,0.1,68.825291,1.556115,0.051348,0.004418,9999,9999,1.059147
KIC5794680,190.351398,14.621418,0.010497,0.30109,0.009707,0.0042,0.000746,0.317944,0.004991,84.606024,0.024322,0.13958,0.001546,0.268316,0.018693,0.746154,0.018663,4.644266,0.047081,0.117924,0.069424,4848,89.65,1.035,0.017,-0.022,-0.007,1.35,0.08,4.86,0.11,58.019758,1.659596,0.04482,0.004063,9999,9999,0.946001
KIC5795688,80.615363,7.589669,0.010575,0.108938,0.015157,0.004951,0.001213,0.175658,0.005032,71.605824,0.019064,0.130861,0.005346,0.071969,0.046768,0.498351,0.02064,3.788225,0.036401,-0.132347,0.108229,4839.8,85.2,1.389,0.342,-0.121,-0.0035,1.29,0.08,7.37,0.16,68.080507,2.619697,0.066519,0.011978,9999,9999,0.939924
KIC5795915,150.918663,12.774632,0.010074,0.264544,0.009601,0.005638,0.00088,0.286942,0.005078,82.723683,0.018812,0.149596,0.002038,0.230088,0.017649,0.765563,0.020831,4.490527,0.057881,-0.311205,0.107739,4839,80,1.063696,0.032933,-0.25,0.15,1.05,0.05,4.85,0.09,29.552562,1.670847,0.043768,0.004701,13.952,3.191,0.934341
KIC5807711,210.15,17.402487,0.019874,0.353377,0.0142,0.000927,0.001154,0.404673,0.006029,88.634693,0.024701,0.21527,0.001957,0.273496,0.014201,0.703022,0.024426,6.659231,0.060063,0.206058,0.121903,5249.5,149.85,0.999,0.028,-0.175,0.0045,0.99,0.06,3.92,0.09,44.123751,1.543493,0.070687,0.004659,9999,9999,0.951654
KIC5820359,126.43193,10.279973,0.007007,0.13837,0.008093,0.008754,0.00055,0.235074,0.005118,79.126001,0.021694,0.126363,0.002512,0.349862,0.028389,0.549903,0.017253,4.524312,0.038358,0.067051,0.07384,4779.6,92.85,1.406,0.4175,-0.055,0.0135,1.5,0.07,6.34,0.11,45.072179,1.376456,0.075603,0.006884,3.31,0.551,1.960052
KIC5820672,138.006189,10.35678,0.016267,0.361877,0.020807,-0.016109,0.001728,0.186488,0.006094,59.952414,0.030398,0.172163,0.007693,-0.100725,0.060642,0.518011,0.036722,9999,9999,9999,9999,4795.5,93.05,1.354,0.4055,-0.063,-0.0065,1.92,0.14,6.81,0.17,9999,9999,9999,9999,9999,9999,1.034334
KIC5824148,182.35,14.867818,0.010149,0.197145,0.0083,0.011773,0.000668,0.356299,0.00547,85.051202,0.020717,0.191416,0.001633,0.248391,0.016347,0.633143,0.024972,1.920089,0.054689,0.565493,0.177129,5675.3,165.3,1.253,0.362,-0.032,0.013,1.25,0.08,4.73,0.11,51.280893,2.430425,0.051129,0.006797,9999,9999,0.841276
KIC5856737,144.236396,12.062451,0.016026,0.273066,0.015888,0.003763,0.000999,0.271041,0.005199,81.868944,0.018773,0.13693,0.002457,0.177273,0.019615,0.731856,0.019833,4.306696,0.037281,-0.000475,0.078932,4817.5,87.25,1.12,0.005,-0.003,0.015,1.18,0.06,5.27,0.1,87.053099,1.196208,0.064029,0.005464,7.366,0.29,1.053675
KIC5858947,171.016476,14.622594,0.007867,0.213776,0.006224,0.008878,0.000548,0.360621,0.005321,83.979677,0.012589,0.188275,0.001783,0.279067,0.010364,0.770052,0.020222,6.64855,0.038725,-0.148199,0.075475,5231.6,92.55,1.178,0.0715,-1.05,0,1.05,0.05,4.49,0.08,86.286081,1.013458,0.080516,0.005984,9999,9999,2.914051
KIC5866229,145.702156,12.842115,0.008917,0.195154,0.008324,0.00882,0.000665,0.300336,0.005771,81.290956,0.016785,0.17174,0.002146,0.270493,0.016087,0.723685,0.019448,4.761036,0.033767,-0.221773,0.075307,5156.2,93.65,1.077,0.027,-0.744,0.0115,1.12,0.07,5.03,0.12,84.468335,1.259421,0.059532,0.004562,9999,9999,1.016015
KIC5866537,105.429497,9.072537,0.009188,0.063072,0.012171,0.007227,0.00098,0.192219,0.005589,72.757805,0.047034,0.110117,0.006319,0.333442,0.084068,0.630348,0.026475,9999,9999,9999,9999,4728.3,82.2,1.392,0.3875,0.041,0.0255,1.42,0.07,6.81,0.12,9999,9999,9999,9999,4.654,1.3515,1.159318
KIC5867450,167.799505,13.227109,0.006337,0.251803,0.006157,0.006972,0.000449,0.288973,0.004302,83.285292,0.012976,0.130377,0.001495,0.216987,0.011109,0.715072,0.016329,4.661302,0.036356,0.002941,0.061954,4675.4,80.3,0.986,0.019,0.356,-0.0015,1.27,0.06,5.1,0.09,75.198122,1.304472,0.04936,0.003806,6.288,0.971,0.991006
KIC5867802,97.756768,8.6619,0.013111,0.095641,0.01791,0.006056,0.001858,0.187963,0.005751,72.869688,0.026605,0.129664,0.004655,0.266276,0.050322,0.584567,0.02616,5.287208,0.039454,0.008342,0.11089,4782,85.05,1.37,0.264,-0.071,0.008,1.58,0.1,7.35,0.17,85.207069,2.524169,0.134471,0.019371,9999,9999,1.00325
KIC5869538,200.91,15.587785,0.005608,0.344608,0.004777,0.003699,0.000387,0.337348,0.005067,85.415819,0.011671,0.163413,0.001397,0.226717,0.00773,0.611672,0.018035,2.708413,0.032793,0.076196,0.062556,5011.6,83.9,1.065,0.0165,-0.227,0.0195,1.23,0.06,4.51,0.08,72.897725,1.954603,0.067995,0.006229,8.173,1.272,0.98448
KIC5869785,225.41,16.786625,0.010164,0.373973,0.008083,-0.000312,0.000789,0.344551,0.005667,86.468583,0.021303,0.158587,0.00118,0.276786,0.013135,0.662754,0.019237,5.684628,0.046052,0.19388,0.06567,4952.2,85.55,0.954,0.0235,-0.065,0.019,1.28,0.06,4.36,0.08,68.279195,1.560509,0.05108,0.004097,4.578,0.4315,0.956992
KIC5876943,157.202621,12.233568,0.006316,0.293073,0.007209,0.001191,0.000674,0.250301,0.004941,79.715567,0.017588,0.114924,0.002165,0.269183,0.01782,0.670203,0.018828,4.253284,0.061112,0.304587,0.065276,4683,84.6,1.106,0.03,0.261,-0.0005,1.29,0.07,5.33,0.1,43.132139,1.835297,0.091006,0.007895,5.232,0.782,1.010619
KIC5879114,216.9,16.519161,0.009178,0.377268,0.007208,0.001467,0.000512,0.351836,0.005268,87.320459,0.019004,0.159237,0.001274,0.245487,0.011925,0.662631,0.01708,3.855041,0.056478,0.221253,0.06891,4856.1,84.35,0.956,0.0225,-0.012,-0.006,1.21,0.06,4.3,0.08,52.612151,1.989201,0.049512,0.00527,9999,9999,0.953889
KIC5880056,171.741224,13.5679,0.008469,0.320563,0.008493,0.001282,0.000748,0.286951,0.006254,81.52687,0.023511,0.141171,0.001749,0.251753,0.020919,0.631748,0.018921,2.284724,0.043452,0.151526,0.068099,4854.3,86.3,1.134,0.0485,-0.053,-0.0115,1.25,0.07,4.94,0.09,68.886818,2.143553,0.055013,0.006294,9999,9999,0.960596
KIC5880144,263.75,18.783008,0.023082,0.346828,0.017082,0.005377,0.001323,0.402361,0.00696,92.044043,0.042117,0.179633,0.001752,0.257556,0.019646,0.697535,0.025059,3.954268,0.140752,0.245261,0.10848,4921.9,90.3,0.689,0.0465,0.013,-0.012,1.36,0.24,4.13,0.25,55.233432,2.501947,0.046902,0.004812,6.894,1.2905,4.546799
KIC5894271,170.782052,14.111298,0.004254,0.265888,0.003666,0.005799,0.000422,0.324978,0.005066,84.572451,0.010905,0.158026,0.00196,0.245425,0.009256,0.732937,0.021435,6.136148,0.034477,0.03598,0.069024,5081.9,88.05,1.082,0.03,-0.376,0.019,0.98,0.05,4.43,0.08,84.845847,1.232932,0.064403,0.005406,16.166,0.7005,0.848055
KIC5905907,123.265081,11.010632,0.006401,0.178932,0.006774,0.008775,0.000561,0.261476,0.004825,78.46404,0.011722,0.158262,0.002679,0.188181,0.015843,0.665381,0.016678,1.347015,0.028711,0.060059,0.07623,5126.7,88.65,1.201,0.0345,-0.577,0.012,0.94,0.04,5.13,0.09,82.402838,1.714399,0.063182,0.004994,9999,9999,0.709696
KIC5937398,120.9232,10.550801,0.008795,0.191765,0.009889,0.005532,0.000933,0.232776,0.005394,78.870449,0.021003,0.148524,0.002951,0.244156,0.028565,0.612215,0.020657,6.537215,0.043565,-0.214987,0.079856,4817.4,89.5,1.17,0.0265,-0.069,-0.024,1.2,0.06,5.81,0.11,86.002644,1.757783,0.098083,0.011842,9.309,1.26,0.978398
KIC5939253,77.527863,7.595781,0.013046,0.147856,0.017267,0.003962,0.001735,0.179267,0.005251,72.551747,0.033775,0.10373,0.009946,0.126873,0.07614,0.434643,0.030035,9999,9999,9999,9999,4871.6,91.6,1.433,0.3565,-0.389,-0.0095,1.16,0.07,7.12,0.16,9999,9999,9999,9999,16.012,3.5035,1.039414
KIC5940587,104.65825,9.062562,0.011822,0.150249,0.015277,0.003663,0.001156,0.192867,0.005503,73.120704,0.027588,0.130623,0.004677,0.23679,0.047314,0.575425,0.025952,7.571118,0.045006,-0.021802,0.097061,4970.6,81.8,1.384,0.3235,-0.368,0.0185,1.55,0.08,7.01,0.13,52.846502,3.71802,0.10114,0.015871,5.891,1.2715,0.950696
KIC5941984,228,18.207659,0.027483,0.383966,0.01946,0.002167,0.002353,0.425949,0.010286,90.792165,0.09692,0.206962,0.001909,0.28999,0.051011,0.692034,0.027844,3.388976,0.101079,0.183206,0.12979,5069.5,96.5,0.934,0.026,-0.143,-0.013,0.86,0.05,3.54,0.08,53.612656,2.852526,0.053138,0.008561,9999,9999,1.095484
KIC5951057,80.8943,7.491134,0.013966,0.139797,0.020276,0.004818,0.002106,0.17912,0.004757,71.386326,0.02533,0.135789,0.005835,0.060731,0.059957,0.508608,0.024695,4.887088,0.035154,-0.107657,0.12138,4812.5,83.65,1.366,0.4155,-0.074,-0.0195,1.55,0.1,7.99,0.19,44.565307,3.684902,0.056567,0.013876,6.105,2.8715,0.988727
KIC5953386,141.808712,12.050208,0.009155,0.230493,0.009535,0.004001,0.000787,0.264921,0.005371,80.947942,0.018724,0.138979,0.001961,0.239182,0.019233,0.720122,0.018996,4.22596,0.03169,0.044521,0.072324,4768.6,88.1,1.165,0.201,-0.069,0.012,1.3,0.08,5.49,0.12,70.585308,1.446807,0.056469,0.004608,8.387,1.5405,1.019701
KIC5953450,142.959205,12.662327,0.00889,0.271503,0.008155,-0.000636,0.000645,0.306604,0.005381,80.329431,0.012409,0.181559,0.001936,0.264768,0.013688,0.743454,0.021221,4.634109,0.032816,0.029845,0.081463,5126.2,89.55,1.095,0.024,-0.645,-0.015,0.89,0.04,4.59,0.08,56.787843,1.433184,0.068159,0.005689,9999,9999,0.918919
KIC5954815,159.333789,12.514674,0.009035,0.26732,0.008992,0.002727,0.000586,0.261904,0.004714,79.982336,0.022402,0.121137,0.001741,0.262926,0.021643,0.693861,0.018557,6.139411,0.072608,-0.158693,0.097711,4750.5,86.55,1.086,0.0115,0.193,-0.0205,1.28,0.06,5.26,0.1,27.305778,1.898083,0.0642,0.007305,4.335,0.53,1.018091
KIC5961985,255.58,17.453785,0.010777,0.328034,0.009234,0.004838,0.000392,0.369768,0.005278,96.986217,0.015823,0.158415,0.001094,0.241138,0.0068,0.616188,0.018108,6.035191,0.059918,0.209502,0.059561,4867.6,81.3,1.019,0.0175,0.163,0.003,1.73,0.1,4.72,0.1,78.529036,1.538562,0.057935,0.005976,3.099,0.5225,0.809517
KIC5962323,86.108548,8.306936,0.00949,0.010577,0.011547,0.012802,0.000987,0.210892,0.005109,74.087033,0.01906,0.132571,0.004749,0.28903,0.039891,0.480112,0.021887,6.176488,0.025451,-0.234295,0.086712,4779.7,83.9,1.307,0.2005,-0.329,0.0095,1.1,0.07,6.6,0.14,68.036672,2.594734,0.050523,0.009206,9999,9999,0.953796
KIC5963287,198.518209,15.667235,0.018259,0.34353,0.014558,0.001373,0.001269,0.357912,0.006392,87.486978,0.022719,0.157041,0.002119,0.250473,0.014595,0.766414,0.01976,9999,9999,9999,9999,4866.1,88.1,0.947,0.02,-0.076,-0.012,1.08,0.06,4.27,0.08,9999,9999,9999,9999,9999,9999,0.94276
KIC5967194,168.816621,13.065953,0.008172,0.280819,0.00796,0.003311,0.000582,0.280929,0.00502,80.990005,0.01344,0.124975,0.001481,0.19419,0.011942,0.706363,0.018979,7.134733,0.031219,0.165788,0.05494,4746.8,79.15,1.076,0.0305,0.251,0.021,1.34,0.06,5.21,0.09,77.388476,1.278772,0.069642,0.00724,5.057,0.6315,0.98913
KIC5976266,182.26838,14.189107,0.009273,0.382101,0.008308,-0.002165,0.000741,0.289274,0.006988,82.965527,0.028867,0.151896,0.001886,0.238389,0.022965,0.640951,0.023715,2.708193,0.078103,-0.039469,0.085495,4908.7,88.2,1.105,0.0235,-0.067,-0.028,1.29,0.09,4.81,0.12,59.640307,2.928567,0.04096,0.004878,9999,9999,0.976998
KIC5976864,132.736547,11.12895,0.01228,0.227505,0.013959,0.005746,0.001136,0.247935,0.004636,78.98838,0.027153,0.130048,0.002328,0.219862,0.033489,0.666603,0.018431,6.946071,0.038051,0.158962,0.086307,4773.4,95.2,1.207,0.1535,-0.019,-0.0025,1.27,0.08,5.7,0.13,47.05839,1.819873,0.064311,0.006849,9999,9999,1.008512
KIC5978435,202.23,15.218941,0.01546,0.279556,0.014128,0.009601,0.001035,0.326141,0.005902,83.228134,0.030688,0.150292,0.002083,0.707246,0.021792,0.610842,0.022476,9999,9999,9999,9999,4991.6,90.2,1.089,0.044,-0.127,0.0025,1.47,0.1,4.88,0.12,9999,9999,9999,9999,6.123,1.0825,0.99758
KIC5981249,158.620281,12.607452,0.006394,0.291971,0.006585,0.003947,0.000514,0.270647,0.005396,80.896255,0.023187,0.128447,0.00191,0.18026,0.02233,0.695696,0.019313,6.903516,0.040365,-0.108039,0.056902,4814.8,95.65,1.072,0.025,-0.022,-0.001,1.31,0.08,5.29,0.12,71.665863,1.612233,0.063722,0.008191,9999,9999,0.941823
KIC5983176,199.670735,14.732304,0.017383,0.338605,0.015316,0.000156,0.001139,0.296388,0.006544,82.817409,0.032025,0.141337,0.001908,0.274796,0.023323,0.594178,0.020726,3.803657,0.051384,0.13584,0.08497,4950.2,179.1,1.071,0.2095,-0.061,0.0185,1.39,0.09,4.85,0.12,74.66818,2.513003,0.046503,0.005027,3.52,0.5405,1.032929
KIC6019408,145.411087,12.562701,0.007471,0.257419,0.007131,0.006789,0.000541,0.301237,0.005064,81.75661,0.02129,0.150381,0.001903,0.208224,0.021472,0.722692,0.018212,3.458255,0.046148,0.108668,0.082193,4882,84.2,1.103,0.016,-0.055,-0.011,1.15,0.07,5.11,0.11,58.071765,2.271026,0.081087,0.007636,9999,9999,0.996665
KIC6021696,198.438323,15.6681,0.020812,0.361944,0.016831,-0.001745,0.001611,0.351857,0.007586,87.657512,0.06308,0.155521,0.002873,0.297663,0.042199,0.822468,0.030997,9999,9999,9999,9999,4871.9,85.65,0.956,0.021,-0.023,-0.02,1.2,0.07,4.49,0.1,9999,9999,9999,9999,9999,9999,0.941734
KIC6022709,99.023279,8.996651,0.017149,0.197064,0.021808,-0.00013,0.001811,0.198671,0.005872,75.744343,0.036221,0.133043,0.007359,0.221659,0.062119,0.588152,0.032408,9999,9999,9999,9999,4812.2,92.1,1.276,0.2205,-0.118,-0.018,1.19,0.07,6.41,0.14,9999,9999,9999,9999,11.969,0.781,0.936217
KIC6023571,121.530032,10.462683,0.008452,0.165645,0.009928,0.00656,0.000656,0.221554,0.004782,78.586701,0.036852,0.127157,0.004487,0.184408,0.049831,0.697864,0.025644,9999,9999,9999,9999,4745.9,85.2,1.255,0.1705,0.142,-0.0195,1.26,0.08,5.95,0.13,9999,9999,9999,9999,7.332,0.58,0.985328
KIC6025641,123.875065,9.864243,0.007453,0.195225,0.009803,0.002329,0.000843,0.200266,0.004559,75.911586,0.016344,0.119358,0.003133,0.238027,0.022042,0.551141,0.019188,5.739262,0.033356,-0.017362,0.07358,4505.3,86.35,1.207,0.121,0.372,-0.007,1.59,0.08,6.65,0.13,81.938585,2.528744,0.107164,0.010996,3.052,0.3,1.06772
