ID,Epsilon,Epsilon_e,Teff,Teff_e
246696804,0.8728524460975621,0.03394711152655472,6662,51.0
246758642,1.126347551349529,0.03827459872763472,6304,52.0
246843060,1.1888802698061358,0.014945040985173685,6219,35.0
246907677,1.0330386609472262,0.020357341046912336,6376,50.0
247236354,1.175930285445639,0.017596114141598895,6177,41.0
247643791,1.0641140147498596,0.03882483073319776,6321,42.0
247906277,1.5142240369662523,0.010781519353637359,5659,33.0
247992384,1.0718359808098603,0.0332164617890397,6390,35.0
248424564,1.4768906822488652,0.01054040739473694,5709,49.0
248505415,1.0829441881616193,0.0465991515124875,6393,39.0
248530476,0.9620460980771496,0.0343942133813222,6465,61.0
248553904,1.1593804868996562,0.007262008973501377,6268,36.0
248593082,0.9592558985407174,0.019931402270489174,6406,40.0
248641774,1.3251640097973216,0.005388971049699265,6110,42.0
248643218,1.146682513387964,0.026013908666866814,6194,54.0
248662379,1.1919466924232505,0.008581527939175548,6167,60.0
248665653,1.2156372297311453,0.006894853731763906,5983,60.0
248687497,1.2199529657251462,0.01219530830777349,6227,45.0
248729983,1.1275690709614525,0.02379096032760364,6266,46.0
248777106,1.3235572882317745,0.012497366751602623,5573,40.0
248785352,1.4192704169587822,0.00566106601255556,5856,42.0
248825038,1.1462836078952852,0.0292155042985357,6317,38.0
248842300,1.0321678103778624,0.034820339389018795,6445,35.0
248891803,1.0982202874085705,0.032745565805302745,6062,42.0
249151042,1.243340805168653,0.011043355621889184,6081,69.0
249154730,0.9866083131721672,0.022349042504046568,6531,53.0
249200379,1.238777501900274,0.01960476174009096,6065,56.0
249404897,1.279922747792631,0.02674846417557719,5913,59.0
249549448,1.402267381798527,0.025374311267576166,5949,43.0
249580606,1.2289046301790358,0.014423283101965056,5933,34.0
249589868,1.0562369377447445,0.02960355205080789,6475,52.0
249602800,1.311222221605983,0.011668918937544626,5877,40.0
249620304,1.214089884525138,0.013817714442105888,6029,45.0
249790971,1.3413060600891709,0.009532896267334556,5923,39.0
249810309,1.3884339373277463,0.010906709654628588,5771,66.0
249829497,1.4262291344225253,0.010484058677805108,5778,39.0
249869231,0.9971805412788679,0.017104329550017394,6543,40.0
249874527,1.0054411831942094,0.04032303042630514,6425,49.0
249877325,0.8029699352196522,0.030529019054163276,6695,100.0
250118096,1.2662715698866236,0.009433607423228185,6097,39.0
250141301,1.3841968732322598,0.01669714795288535,5869,40.0
250165973,1.2719742565602377,0.01087296113242886,6005,40.0
